Latitude,Longitude,Name,Icon,PlotName,NWR,year,type,Description
67.14307,-142.294,38152_1,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14792,-142.248,38152_10,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15208,-142.294,38152_11,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15217,-142.282,38152_12,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15225,-142.271,38152_13,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15234,-142.26,38152_14,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15242,-142.248,38152_15,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15674,-142.294,38152_16,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15667,-142.283,38152_17,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15876,-142.272,38152_18,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15684,-142.26,38152_19,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14315,-142.282,38152_2,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.15693,-142.248,38152_20,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.16109,-142.294,38152_21,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14324,-142.271,38152_3,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14333,-142.259,38152_4,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14341,-142.248,38152_5,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14757,-142.294,38152_6,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14766,-142.282,38152_7,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14775,-142.271,38152_8,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.14783,-142.259,38152_9,186,Porcupine II,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine II and surveyed in even years
67.32815,-141.376,38634_1,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33275,-141.33,38634_10,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33717,-141.376,38634_11,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33719,-141.364,38634_12,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33722,-141.353,38634_13,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33724,-141.341,38634_14,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33726,-141.33,38634_15,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34168,-141.376,38634_16,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.3417,-141.364,38634_17,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34173,-141.353,38634_18,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34175,-141.341,38634_19,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.32793,-141.364,38634_2,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34177,-141.33,38634_20,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34619,-141.376,38634_21,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34621,-141.364,38634_22,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34623,-141.353,38634_23,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34626,-141.341,38634_24,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.34628,-141.33,38634_25,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.3282,-141.353,38634_3,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.32822,-141.341,38634_4,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.32825,-141.33,38634_5,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33267,-141.376,38634_6,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
67.33268,-141.364,38634_7,186,Porcupine I,Arctic,even,ALMS,ALMS Point in Arctic NWR at Porcupine I and surveyed in even years
62.9795273,-159.1442973,29941_1,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9886593,-159.1088751,29941_10,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9881428,-159.1496341,29941_11,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9893499,-159.1401114,29941_12,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9905565,-159.130588,29941_13,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9917624,-159.1210638,29941_14,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9929677,-159.1115389,29941_15,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9924505,-159.1523036,29941_16,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9936578,-159.1427797,29941_17,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9948645,-159.133255,29941_18,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9960706,-159.1237296,29941_19,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9807341,-159.1347772,29941_2,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9972761,-159.1142034,29941_20,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9967581,-159.1549739,29941_21,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9979656,-159.1454488,29941_22,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9991725,-159.1359228,29941_23,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
63.0003788,-159.1263961,29941_24,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
63.0015845,-159.1168686,29941_25,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9819403,-159.1252563,29941_3,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9831459,-159.1157346,29941_4,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9843509,-159.1062122,29941_5,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9838351,-159.1469653,29941_6,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.985042,-159.1374439,29941_7,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9862484,-159.1279218,29941_8,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
62.9874542,-159.1183988,29941_9,186,Downriver,Innoko,even,ALMS,ALMS Point in Innoko NWR at Downriver and surveyed in even years
63.4661121,-158.2000176,30903_1,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4750189,-158.1637244,30903_10,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4747646,-158.2051664,30903_11,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4759109,-158.1954494,30903_12,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4770565,-158.1857316,30903_13,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4782015,-158.1760131,30903_14,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4793459,-158.1662939,30903_15,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4790909,-158.2077419,30903_16,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4802373,-158.1980236,30903_17,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4813831,-158.1883045,30903_18,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.4825282,-158.1785847,30903_19,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
63.467258,-158.1903032,30903_2,186,Spotted Slough,Innoko,even,ALMS,ALMS Point in Innoko NWR at Spotted Slough and surveyed in even years
