Block_No,Date,Rep,Year,Point,Blockyrreppt,Blockdaterepobs,ObsNo,Hr,Min,FMLast,Species,Period,No_gt_1,Behav,Dist,Identity,Total_10,Exact_distance,MODIFIED,Access BlockYrRepPtID,Access Observer Code,Comments,New species codes
37154,6/15/2016,,2016,16,37154-2016--16,37154-160615--155,155,3,36,CWWright,WWCR,10,2,FO,60,,2,,8/31/2016,,,,WWCR
37154,6/15/2016,,2016,21,37154-2016--21,37154-160615--155,155,4,12,CWWright,WWCR,5,2,FO,80,,2,,8/31/2016,,,,WWCR
37154,6/15/2016,,2016,19,37154-2016--19,37154-160615--155,155,7,48,CWWright,SACR,8,2,V,150,,2,,8/31/2016,,,,SACR
37154,6/15/2016,,2016,19,37154-2016--19,37154-160615--155,155,7,48,CWWright,SACR,8,2,C,60,,2,,8/31/2016,,,,SACR
37154,6/15/2016,,2016,18,37154-2016--18,37154-160615--155,155,8,22,CWWright,WWCR,3,2,FO,30,,2,,8/31/2016,,,,WWCR
37154,6/16/2016,,2016,8,37154-2016--8,37154-160616--155,155,4,15,CWWright,SUSC,3,2,F,150,,2,,8/31/2016,,,,SUSC
37154,6/16/2016,,2016,9,37154-2016--9,37154-160616--155,155,5,0,CWWright,WWCR,10,2,C,120,,2,,8/31/2016,,,,WWCR
37393,6/13/2016,,2016,8,37393-2016--8,37393-160613--155,155,8,25,CWWright,RTHA,3,2,MF,150,,2,,8/31/2016,,,,RTHA
29941,6/13/2016,,2016,21,29941-2016--21,29941-160613--156,156,4,21,BWRobinson,CORE,10,2,C,100,,2,,9/1/2016,,,,CORE
29941,6/13/2016,,2016,19,29941-2016--19,29941-160613--156,156,6,35,BWRobinson,GWFG,8,2,C,150,,2,400,9/1/2016,,,,GWFG
29941,6/14/2016,,2016,3,29941-2016--3,29941-160614--156,156,5,57,BWRobinson,WHIM,3,2,C,150,,2,250,9/1/2016,,,,WHIM
29941,6/14/2016,,2016,4,29941-2016--4,29941-160614--156,156,6,22,BWRobinson,HUGO,3,2,C,150,,2,250,9/1/2016,,,,HUGO
29941,6/14/2016,,2016,4,29941-2016--4,29941-160614--156,156,6,22,BWRobinson,SACR,3,2,C,150,,2,500,9/1/2016,,,,SACR
29941,6/14/2016,,2016,4,29941-2016--4,29941-160614--156,156,6,22,BWRobinson,WHIM,3,2,C,150,,2,400,9/1/2016,,,,WHIM
29941,6/14/2016,,2016,4,29941-2016--4,29941-160614--156,156,6,22,BWRobinson,SAVS,5,2,S,30,,2,,9/1/2016,,,,SAVS
29941,6/14/2016,,2016,5,29941-2016--5,29941-160614--156,156,6,48,BWRobinson,SAVS,3,2,C,100,,2,,9/1/2016,,,,SAVS
29941,6/14/2016,,2016,10,29941-2016--10,29941-160614--156,156,7,13,BWRobinson,TRUS,5,2,C,150,,2,250,9/1/2016,,,,TRUS
29941,6/14/2016,,2016,9,29941-2016--9,29941-160614--156,156,7,43,BWRobinson,HUGO,8,2,C,150,,2,250,9/1/2016,,,,HUGO
29941,6/14/2016,,2016,9,29941-2016--9,29941-160614--156,156,7,43,BWRobinson,CANG,10,2,C,150,,2,400,9/1/2016,,,,CANG
29941,6/14/2016,,2016,8,29941-2016--8,29941-160614--156,156,8,10,BWRobinson,SAVS,3,2,C,30,,2,,9/1/2016,,,,SAVS
29941,6/14/2016,,2016,7,29941-2016--7,29941-160614--156,156,8,35,BWRobinson,WHIM,3,2,C,150,,2,350,9/1/2016,,,,WHIM
30903,6/15/2016,,2016,20,30903-2016--20,30903-160615--156,156,5,15,BWRobinson,SAVS,3,2,C,50,,2,,9/1/2016,,,,SAVS
30903,6/15/2016,,2016,20,30903-2016--20,30903-160615--156,156,5,15,BWRobinson,CANG,10,2,FO,150,,2,400,9/1/2016,,,,CANG
30903,6/15/2016,,2016,25,30903-2016--25,30903-160615--156,156,5,45,BWRobinson,LEYE,3,2,C,150,,2,350,9/1/2016,,,,LEYE
30903,6/15/2016,,2016,18,30903-2016--18,30903-160615--156,156,8,45,BWRobinson,CORE,3,2,C,150,,2,200,9/1/2016,,,,CORE
30903,6/15/2016,,2016,19,30903-2016--19,30903-160615--156,156,9,27,BWRobinson,RUBL,3,2,S,150,,2,,9/1/2016,,,,RUBL
30903,6/15/2016,,2016,14,30903-2016--14,30903-160615--156,156,10,3,BWRobinson,CORE,3,2,FO,100,,2,,9/1/2016,,,,CORE
30903,6/16/2016,,2016,4,30903-2016--4,30903-160616--156,156,4,54,BWRobinson,WWCR,8,2,FO,100,,2,,9/1/2016,,,,WWCR
30903,6/16/2016,,2016,11,30903-2016--11,30903-160616--156,156,7,31,BWRobinson,WWCR,10,2,FO,50,,2,,9/1/2016,,,,WWCR
30903,6/16/2016,,2016,13,30903-2016--13,30903-160616--156,156,9,38,BWRobinson,WWCR,3,2,V,60,,2,,9/1/2016,,,,WWCR
