common_name,code
Emperor Goose,EMGO
Snow Goose,SNGO
Ross's Goose,
Greater White-fronted Goose,GWFG
Lesser White-fronted Goose,
Taiga Bean-Goose,
Tundra Bean-Goose,
Brant,BRAN
Barnacle Goose,
Cackling Goose,CACG
Canada/Cackling Goose,
Canada Goose,CANG
Trumpeter Swan,TRUS
Tundra Swan,TUSW
Whooper Swan,
Wood Duck,
Baikal Teal,
Garganey,
Blue-winged Teal,BWTE
Cinnamon Teal,
Northern Shoveler,NSHO
Gadwall,GADW
Falcated Duck,
Eurasian Wigeon,EUWI
American Wigeon,AMWI
Eastern Spot-billed Duck,
Mallard,MALL
American Black Duck,
Northern Pintail,NOPI
Green-winged Teal,GWTE
Canvasback,CANV
Redhead,REDH
Common Pochard,
Ring-necked Duck,RNDU
Tufted Duck,
Greater Scaup,GRSC
Lesser Scaup,LESC
Steller's Eider,
Spectacled Eider,
King Eider,
Common Eider,COEI
Harlequin Duck,HADU
Surf Scoter,SUSC
White-winged Scoter,WWSC
Black Scoter,BLSC
Long-tailed Duck,LTDU
Bufflehead,BUFF
Common Goldeneye,COGO
Barrow's Goldeneye,BAGO
Smew,
Hooded Merganser,HOME
Common Merganser,COME
Red-breasted Merganser,RBME
Ruddy Duck,RUDU
Chukar,
Ring-necked Pheasant,
Ruffed Grouse,RUGR
Spruce Grouse,SPGR
Willow Ptarmigan,WIPT
Rock Ptarmigan,ROPT
White-tailed Ptarmigan,WTPT
Sooty Grouse,SOGR
Sharp-tailed Grouse,STGR
Wild Turkey,
Pied-billed Grebe,PBGR
Horned Grebe,HOGR
Red-necked Grebe,RNGR
Eared Grebe,
Western Grebe,
Clark's Grebe,
Rock Pigeon,ROPI
Band-tailed Pigeon,BTPI
Oriental Turtle-Dove,
Eurasian Collared-Dove,EUCD
African Collared-Dove,
White-winged Dove,
Mourning Dove,
Common Cuckoo,
Oriental Cuckoo,
Common Nighthawk,
Gray Nightjar,
Black Swift,BLSW
Chimney Swift,
Vaux's Swift,VASW
White-throated Needletail,
Common Swift,
Pacific Swift,
Ruby-throated Hummingbird,
Anna's Hummingbird,ANHU
Costa's Hummingbird,
Rufous Hummingbird,RUHU
Calliope Hummingbird,
Virginia Rail,
Sora,SORA
Eurasian Coot,
American Coot,AMCO
Yellow Rail,
Sandhill Crane,SACR
Common Crane,
Black-winged Stilt,
American Avocet,
Black Oystercatcher,BLOY
Black-bellied Plover,BBPL
European Golden-Plover,
American Golden-Plover,AMGP
Pacific Golden-Plover,PAGP
Lesser Sand-Plover,
Common Ringed Plover,
Semipalmated Plover,SEPL
Little Ringed Plover,
Killdeer,KILL
Eurasian Dotterel,
Upland Sandpiper,UPSA
Bristle-thighed Curlew,BTCU
Whimbrel,WHIM
Eskimo Curlew,
Long-billed Curlew,
Far Eastern Curlew,
Bar-tailed Godwit,BARG
Black-tailed Godwit,
Hudsonian Godwit,HUGO
Marbled Godwit,MAGO
Ruddy Turnstone,RUTU
Black Turnstone,BLTU
Great Knot,
Red Knot,REKN
Surfbird,SURF
Ruff,
Broad-billed Sandpiper,
Sharp-tailed Sandpiper,
Stilt Sandpiper,STSA
Curlew Sandpiper,
Temminck's Stint,
Long-toed Stint,
Spoon-billed Sandpiper,
Red-necked Stint,RNST
Sanderling,SAND
Dunlin,DUNL
Rock Sandpiper,ROSA
Baird's Sandpiper,BASA
Little Stint,
Least Sandpiper,LESA
White-rumped Sandpiper,WRSA
